WARM UP	30	90				warmup_start	half	1mstop		5stop		
1/10	40	100				interval_start	half			5stop		
REST	20	70					half			5start		
2/10	40	100					half			5stop		
REST	20	70					half			5start		
3/10	40	100					half			5stop		
REST	20	70					half			5start		
4/10	40	100					half			5stop		
REST	20	70					half			5start		
5/10	40	100					half			5stop		
REST	20	70					half			5start		
6/10	40	100					half			5stop		
REST	20	70					half			5start		
7/10	40	100					half			5stop		
REST	20	70					half			5start		
8/10	40	100					half			5stop		
REST	20	70					half			5start		
9/10	40	100					half			5stop		
REST	20	70					half			5start		
10/10	40	100					half			5stop		
REST	300	90				rest	half	1mstop		5start		
1/10	40	100				interval_start	half			5stop		
REST	20	70					half			5start		
2/10	40	100					half			5stop		
REST	20	70					half			5start		
3/10	40	100					half			5stop		
REST	20	70					half			5start		
4/10	40	100					half			5stop		
REST	20	70					half			5start		
5/10	40	100					half			5stop		
REST	20	70					half			5start		
6/10	40	100					half			5stop		
REST	20	70					half			5start		
7/10	40	100					half			5stop		
REST	20	70					half			5start	cooldown_stop	
8/10	40	100					half			5stop		
REST	20	70					half			5start		
9/10	40	100					half			5stop		
REST	20	70					half			5start		
10/10	40	100					half			5stop		
REST	300	90				rest	half	1mstop		5start		
1/10	40	100				interval_start	half			5stop		
REST	20	70					half			5start		
2/10	40	100					half			5stop		
REST	20	70					half			5start		
3/10	40	100					half			5stop		
REST	20	70					half			5start		
4/10	40	100					half			5stop		
REST	20	70					half			5start		
5/10	40	100					half			5stop		
REST	20	70					half			5start		
6/10	40	100					half			5stop		
REST	20	70					half			5start		
7/10	40	100					half			5stop		
REST	20	70					half			5start		
8/10	40	100					half			5stop		
REST	20	70					half			5start		
9/10	40	100					half			5stop		
REST	20	70					half			5start		
10/10	40	100					half			5stop		
REST	300	90				rest	half	1mstop		5start		
1/10	40	100				interval_start	half			5stop		
REST	20	70					half			5start		
2/10	40	100					half			5stop		
REST	20	70					half			5start		
3/10	40	100					half			5stop		
REST	20	70					half			5start		
4/10	40	100					half			5stop		
REST	20	70					half			5start		
5/10	40	100					half			5stop		
REST	20	70					half			5start		
6/10	40	100					half			5stop		
REST	20	70					half			5start		
7/10	40	100					half			5stop		
REST	20	70					half			5start		
8/10	40	100					half			5stop		
REST	20	70					half			5start		
9/10	40	100					half			5stop		
REST	20	70					half			5start		
10/10	40	100					half			5stop		
REST	300	90				rest	half	1mstop		5start		
1/10	40	100				interval_start	half			5stop		
REST	20	70					half			5start		
2/10	40	100					half			5stop		
REST	20	70					half			5start		
3/10	40	100					half			5stop		
REST	20	70					half			5start		
4/10	40	100					half			5stop		
REST	20	70					half			5start		
5/10	40	100					half			5stop		
REST	20	70					half			5start		
6/10	40	100					half			5stop		
REST	20	70					half			5start		
7/10	40	100					half			5stop		
REST	20	70					half			5start		
8/10	40	100					half			5stop		
REST	20	70					half			5start		
9/10	40	100					half			5stop		
REST	20	70					half			5start		
10/10	40	100					half			5stop		
COOL DOWN	1200	90				cooldown_start	half				cooldown_stop	
